Date,Description,Amount,Category
2025-03-01,Coffee,-3.50,Food
2025-03-02,Salary,+2500.00,Salary
2025-03-03,Bus pass,-45.00,Transport
2025-03-04,Grocery shopping,-76.23,Food
2025-03-05,Netflix subscription,-12.99,Entertainment
2025-03-06,Electricity bill,-60.00,Utilities
2025-03-07,Gym membership,-25.00,Health
2025-03-08,Freelance project,+600.00,Salary
2025-03-09,Doctor appointment,-30.00,Health
2025-03-10,Movie night,-15.00,Entertainment
2025-03-11,Internet bill,-40.00,Utilities
2025-03-12,Lunch with friends,-18.50,Food
2025-03-13,Taxi,-22.75,Transport
2025-03-14,Gift for friend,-35.00,Other
2025-03-15,Investment return,+150.00,Other